sports,country,league,team,id
fussball,spanien,la_liga,FC Sevilla,8
fussball,spanien,la_liga,Getafe,10
fussball,spanien,la_liga,Getafe CF,10
fussball,spanien,la_liga,Girona CF,15
fussball,spanien,la_liga,Girona FC,15
fussball,spanien,la_liga,Granada CF,13
fussball,spanien,la_liga,Las Palmas,3
fussball,spanien,la_liga,RC Celta de Vigo,6
fussball,spanien,la_liga,RCD Mallorca,5
fussball,spanien,la_liga,Rayo Vallecano,20
fussball,spanien,la_liga,Real Betis,18
fussball,spanien,la_liga,Real Betis Balompie,18
fussball,spanien,la_liga,Real Madrid,19
fussball,spanien,la_liga,Real Sociedad,2
fussball,spanien,la_liga,Sevilla FC,8
fussball,spanien,la_liga,UD Almeria,1
fussball,spanien,la_liga,UD Las Palmas,3
fussball,spanien,la_liga,Valencia,12
fussball,spanien,la_liga,Valencia CF,12
fussball,spanien,la_liga,Villarreal,16
fussball,spanien,la_liga,Villarreal CF,16
fussball,spanien,la_liga_2,AD Alcorcon,2
fussball,spanien,la_liga_2,Albacete,20
fussball,spanien,la_liga_2,Albacete Balompie,20
fussball,spanien,la_liga_2,Burgos CF,9
fussball,spanien,la_liga_2,CD Eldense,6
fussball,spanien,la_liga_2,CD Leganes,15
fussball,spanien,la_liga_2,CD Mirandes,12
fussball,spanien,la_liga_2,CD Tenerife,16
fussball,spanien,la_liga_2,CD Teneriffa,16
fussball,spanien,la_liga_2,CF Burgos,9
fussball,spanien,la_liga_2,CF Elche,19
fussball,spanien,la_liga_2,CF Villarreal B,7
fussball,spanien,la_liga_2,Cartagena,3
fussball,spanien,la_liga_2,Club Dep. Eldense,6
fussball,spanien,la_liga_2,Club Deportivo Eldense,6
fussball,spanien,la_liga_2,Elche CF,19
fussball,spanien,la_liga_2,Espanyol,17
fussball,spanien,la_liga_2,Espanyol Barcelona,17
fussball,spanien,la_liga_2,FC Andorra,8
fussball,spanien,la_liga_2,FC Cartagena,3
fussball,spanien,la_liga_2,Levante,5
fussball,spanien,la_liga_2,Levante UD,5
fussball,spanien,la_liga_2,RCD Espanyol Barcelona,17
fussball,spanien,la_liga_2,Racing C. DE Ferrol,21
fussball,spanien,la_liga_2,Racing De Santander,22
fussball,spanien,la_liga_2,Racing Ferrol,21
fussball,spanien,la_liga_2,Racing Santander,22
fussball,spanien,la_liga_2,Racing de Ferrol,21
fussball,spanien,la_liga_2,Racing de Santander,22
fussball,spanien,la_liga_2,Real Oviedo,4
fussball,spanien,la_liga_2,Real Saragossa,13
fussball,spanien,la_liga_2,Real Valladolid,11
fussball,spanien,la_liga_2,Real Zaragoza,13
fussball,spanien,la_liga_2,SD Amorebieta,14
fussball,spanien,la_liga_2,SD Eibar,1
fussball,spanien,la_liga_2,SD Huesca,18
fussball,spanien,la_liga_2,Sporting Gijon,10
fussball,spanien,la_liga_2,UD Levante,5
fussball,spanien,la_liga_2,Valladolid,11
fussball,spanien,la_liga_2,Villarreal 2,7
fussball,spanien,la_liga_2,Villarreal CF B,7
